Date,InterfaceID,priority_weight,process_impact_weight,frequency,days_to_quarter_end,close_calendar_multiplier,CoIF
2024-09-01,IF_ORD_001,100,90,61,29,1.032,67.53
2024-09-01,IF_PAY_001,100,100,66,29,1.032,73.71
2024-09-01,IF_PAY_002,25,30,17,29,1.032,31.12
2024-09-01,IF_ORD_002,100,90,37,29,1.032,68.9
2024-09-01,IF_ORD_003,60,80,45,29,1.032,58.99
2024-09-01,IF_MFG_001,60,75,22,29,1.032,51.47
2024-09-01,IF_MFG_002,25,65,14,29,1.032,37.22
2024-09-01,IF_MFG_003,25,35,19,29,1.032,33.13
2024-09-01,IF_MFG_004,5,20,11,29,1.032,21.82
2024-09-01,IF_PRC_001,60,70,24,29,1.032,50.9
2024-09-01,IF_PRC_002,25,55,11,29,1.032,31.35
2024-09-01,IF_PRC_003,5,15,8,29,1.032,12.69
2024-09-01,IF_ASM_001,60,85,20,29,1.032,56.81
2024-09-01,IF_ASM_002,60,80,33,29,1.032,57.26
2024-09-01,IF_DLV_001,100,100,96,29,1.032,76.71
2024-09-02,IF_ORD_001,100,90,48,28,1.037,71.97
2024-09-02,IF_PAY_001,100,100,35,28,1.037,69.26
2024-09-02,IF_PAY_002,25,30,26,28,1.037,35.69
2024-09-02,IF_ORD_002,100,90,52,28,1.037,69.8
2024-09-02,IF_ORD_003,60,80,32,28,1.037,56.51
2024-09-02,IF_MFG_001,60,75,26,28,1.037,54.24
2024-09-02,IF_MFG_002,25,65,21,28,1.037,40.06
2024-09-02,IF_MFG_003,25,35,9,28,1.037,32.48
2024-09-02,IF_MFG_004,5,20,16,28,1.037,16.86
2024-09-02,IF_PRC_001,60,70,154,28,1.037,63.38
2024-09-02,IF_PRC_002,25,55,25,28,1.037,31.46
2024-09-02,IF_PRC_003,5,15,7,28,1.037,14.52
2024-09-02,IF_ASM_001,60,85,28,28,1.037,59.35
2024-09-02,IF_ASM_002,60,80,36,28,1.037,58.88
2024-09-02,IF_DLV_001,100,100,34,28,1.037,72.96
2024-09-03,IF_ORD_001,100,90,40,27,1.042,67.59
2024-09-03,IF_PAY_001,100,100,67,27,1.042,77.3
2024-09-03,IF_PAY_002,25,30,17,27,1.042,31.11
2024-09-03,IF_ORD_002,100,90,66,27,1.042,78.82
2024-09-03,IF_ORD_003,60,80,30,27,1.042,52.21
2024-09-03,IF_MFG_001,60,75,19,27,1.042,56.32
2024-09-03,IF_MFG_002,25,65,8,27,1.042,32.59
2024-09-03,IF_MFG_003,25,35,22,27,1.042,28.31
2024-09-03,IF_MFG_004,5,20,8,27,1.042,18.6
2024-09-03,IF_PRC_001,60,70,25,27,1.042,59.71
2024-09-03,IF_PRC_002,25,55,23,27,1.042,35.73
2024-09-03,IF_PRC_003,5,15,10,27,1.042,12.34
2024-09-03,IF_ASM_001,60,85,24,27,1.042,61.22
2024-09-03,IF_ASM_002,60,80,22,27,1.042,59.23
2024-09-03,IF_DLV_001,100,100,48,27,1.042,73.68
2024-09-04,IF_ORD_001,100,90,26,26,1.049,70.83
2024-09-04,IF_PAY_001,100,100,46,26,1.049,74.67
2024-09-04,IF_PAY_002,25,30,17,26,1.049,36.17
2024-09-04,IF_ORD_002,100,90,31,26,1.049,71.04
2024-09-04,IF_ORD_003,60,80,14,26,1.049,53.35
2024-09-04,IF_MFG_001,60,75,46,26,1.049,55.55
2024-09-04,IF_MFG_002,25,65,13,26,1.049,29.69
2024-09-04,IF_MFG_003,25,35,13,26,1.049,24.62
2024-09-04,IF_MFG_004,5,20,14,26,1.049,20.68
2024-09-04,IF_PRC_001,60,70,20,26,1.049,50.59
2024-09-04,IF_PRC_002,25,55,22,26,1.049,32.65
2024-09-04,IF_PRC_003,5,15,9,26,1.049,20.68
2024-09-04,IF_ASM_001,60,85,31,26,1.049,58.25
2024-09-04,IF_ASM_002,60,80,39,26,1.049,52.13
2024-09-04,IF_DLV_001,100,100,29,26,1.049,74.88
2024-09-05,IF_ORD_001,100,90,44,25,1.056,69.44
2024-09-05,IF_PAY_001,100,100,37,25,1.056,78.13
2024-09-05,IF_PAY_002,25,30,22,25,1.056,31.22
2024-09-05,IF_ORD_002,100,90,77,25,1.056,81.75
2024-09-05,IF_ORD_003,60,80,34,25,1.056,56.6
2024-09-05,IF_MFG_001,60,75,25,25,1.056,51.16
2024-09-05,IF_MFG_002,25,65,18,25,1.056,32.05
