TIME;EVENT;APP;IFACE;DEST;DEST_APP;CHANNEL;MODE;RESULT;MS;SESSION;TRACE;FLOW;FAILURE
09/11/2026 07:19:42;EVT-0000037;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2066;SESS-5083DB6C70;REQ-7A204BEE6A3F;Customer Demand to Planning;
09/13/2026 08:31:12;EVT-0000045;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Rejected;5138;SESS-F3EAB2D34F;REQ-C1A2CD9E10B6;Demand Forecast to Supply Planning;VAL_400~Validation~Required business field failed validation
09/13/2026 13:23:41;EVT-0000054;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;1976;SESS-DAA00EB4B5;REQ-261DCFC3972A;Customer Demand to Planning;
09/15/2026 12:03:54;EVT-0000060;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Retried;5694;SESS-A5A0E69B0A;REQ-A3358F96F21E;Customer Demand to Planning;NET_CONN_003~Network~Connection reset by peer
09/13/2026 14:42:23;EVT-0000093;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Retried;8979;SESS-3E9CB4AFB1;REQ-37DD95835C87;Customer Demand to Planning;DB_COMMIT_014~Database~Transaction commit failed
09/15/2026 08:39:00;EVT-0000099;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2558;SESS-5B767E0C41;REQ-0A8D6BCD505E;Customer Demand to Planning;
09/15/2026 09:40:53;EVT-0000114;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1311;SESS-02B42172ED;REQ-D74477D0945A;Sales Order to Fulfillment;
09/16/2026 01:03:13;EVT-0000120;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;888;SESS-9D3551CE5C;REQ-21A634C3FE2F;Sales Order to Fulfillment;
09/13/2026 19:04:43;EVT-0000121;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;1937;SESS-A4954C6829;REQ-CE7F4A3601D1;Demand Forecast to Supply Planning;
09/16/2026 23:02:35;EVT-0000134;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Retried;8357;SESS-34BAD9D308;REQ-1C377EDF95DE;Demand Forecast to Supply Planning;TIME_004~Timeout~Downstream response exceeded SLA
09/10/2026 02:22:15;EVT-0000139;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2101;SESS-CE099AE6D0;REQ-1C8039C82167;Customer Demand to Planning;
09/16/2026 06:31:07;EVT-0000148;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1385;SESS-F03685DB24;REQ-5A3E746CF443;Sales Order to Fulfillment;
09/11/2026 16:28:28;EVT-0000152;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2654;SESS-A1E18FE826;REQ-4CC4C81C53CB;Customer Demand to Planning;
09/10/2026 00:26:10;EVT-0000164;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;2428;SESS-A0D14AC72F;REQ-D66BDB4312D0;Demand Forecast to Supply Planning;
09/14/2026 18:34:13;EVT-0000176;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;2672;SESS-C6A1F354F9;REQ-A4A64F658BF7;Demand Forecast to Supply Planning;
09/14/2026 12:26:52;EVT-0000184;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;996;SESS-11F7BEDD71;REQ-E06CCCE81A52;Sales Order to Fulfillment;
09/16/2026 12:29:18;EVT-0000188;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2398;SESS-1FAE3632D5;REQ-80EBF64EE24F;Customer Demand to Planning;
09/13/2026 06:21:52;EVT-0000199;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Retried;3761;SESS-C3C9AD5403;REQ-29379575DEE0;Demand Forecast to Supply Planning;DB_COMMIT_014~Database~Transaction commit failed
09/13/2026 11:10:34;EVT-0000205;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;1785;SESS-205E2E8C95;REQ-4B29775B7B1D;Demand Forecast to Supply Planning;
09/13/2026 16:21:26;EVT-0000211;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2973;SESS-6BA00AEB92;REQ-CB40E8E84516;Customer Demand to Planning;
09/14/2026 03:42:56;EVT-0000232;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;1375;SESS-F6DBFA98B0;REQ-6F24458A7277;Customer Demand to Planning;
09/15/2026 09:03:03;EVT-0000261;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1670;SESS-63EE64D193;REQ-5583791F16C3;Sales Order to Fulfillment;
09/12/2026 04:41:04;EVT-0000269;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1422;SESS-F923BEC184;REQ-A0F58F901DBB;Sales Order to Fulfillment;
09/11/2026 03:19:17;EVT-0000281;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;2039;SESS-880B62B55A;REQ-2FDD7CBD1FCA;Demand Forecast to Supply Planning;
09/16/2026 08:36:25;EVT-0000294;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;2181;SESS-6DB7C07AFE;REQ-3C1080B95BBA;Demand Forecast to Supply Planning;
09/12/2026 22:13:14;EVT-0000296;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1572;SESS-9DF31BCA2A;REQ-9BE0380E1D6C;Sales Order to Fulfillment;
09/13/2026 11:39:56;EVT-0000303;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;2114;SESS-A8536E1997;REQ-C1018CEE4DA1;Demand Forecast to Supply Planning;
09/11/2026 17:31:15;EVT-0000315;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2557;SESS-B95B02F3ED;REQ-BDD4EFBCF2B9;Customer Demand to Planning;
09/13/2026 12:17:54;EVT-0000336;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1024;SESS-334C34E17A;REQ-52F4BE715F07;Sales Order to Fulfillment;
09/13/2026 05:06:09;EVT-0000344;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2144;SESS-436598C30B;REQ-0C9F6849BE4C;Customer Demand to Planning;
09/11/2026 00:55:52;EVT-0000362;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2288;SESS-7BF0F041A2;REQ-2B9F126C2775;Customer Demand to Planning;
09/15/2026 00:19:15;EVT-0000371;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;2324;SESS-AB6F8F188A;REQ-5134C764FF4F;Demand Forecast to Supply Planning;
09/16/2026 05:20:50;EVT-0000374;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1485;SESS-852537F6FC;REQ-F95DBDB1E976;Sales Order to Fulfillment;
09/14/2026 17:09:53;EVT-0000377;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1828;SESS-999DFB318F;REQ-05F202F1CACD;Sales Order to Fulfillment;
09/15/2026 11:43:07;EVT-0000419;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1138;SESS-1A1EFEF3A9;REQ-674935015D52;Sales Order to Fulfillment;
09/14/2026 11:29:49;EVT-0000428;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1222;SESS-D72800B8F8;REQ-D5E7E474F678;Sales Order to Fulfillment;
09/11/2026 18:16:52;EVT-0000435;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;1421;SESS-314C977A89;REQ-A4F0F1262608;Demand Forecast to Supply Planning;
09/10/2026 10:41:31;EVT-0000436;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;1173;SESS-9AE23F29BB;REQ-E340C2130330;Demand Forecast to Supply Planning;
09/15/2026 10:53:56;EVT-0000451;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2091;SESS-17735610DC;REQ-57EA3D6105E9;Customer Demand to Planning;
09/12/2026 12:21:32;EVT-0000452;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;3079;SESS-BD445DD783;REQ-D8426C71B50E;Demand Forecast to Supply Planning;
09/11/2026 10:41:27;EVT-0000467;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2439;SESS-CA1053F314;REQ-FF4CF7D8B0CA;Customer Demand to Planning;
09/16/2026 19:28:17;EVT-0000470;SM;IF_CRMSM_SAPPP_001;SAP_ERP;PP;REST_API;REST;Completed;2803;SESS-BD39C96AFA;REQ-5662682A7161;Customer Demand to Planning;
09/14/2026 10:08:32;EVT-0000482;DM;IF_CRMDM_ORSC_001;ORACLE_SCM;SC;Kafka;Async;Completed;2326;SESS-A88C935165;REQ-B7073782615B;Demand Forecast to Supply Planning;
09/10/2026 02:57:54;EVT-0000491;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1523;SESS-7584EB5E83;REQ-EE4AC17EB17F;Sales Order to Fulfillment;
09/15/2026 12:29:41;EVT-0000497;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1218;SESS-9506468FDE;REQ-ADABC6AA71CF;Sales Order to Fulfillment;
09/15/2026 21:26:28;EVT-0000498;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;955;SESS-929EADCC1A;REQ-3BFE1EA06847;Sales Order to Fulfillment;
09/15/2026 07:29:04;EVT-0000510;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1122;SESS-96F39F1F15;REQ-F2374CB9BBC5;Sales Order to Fulfillment;
09/10/2026 11:48:37;EVT-0000517;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;1973;SESS-A261B17223;REQ-2C6457A35149;Sales Order to Fulfillment;
09/16/2026 00:46:48;EVT-0000524;OM;IF_CRMOM_OROM_001;ORACLE_SCM;OM;REST_API;REST;Completed;930;SESS-22A162D686;REQ-E5A942DF9CD7;Sales Order to Fulfillment;
