event_key,occurred_at,module,route_id,destination,transport,exchange,state_code,elapsed_seconds,session_ref,trace_id,fault
EVT-0000006,2026-09-12 17:21:34,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,11.077,SESS-93817EA810,REQ-078391B5B9CE,
EVT-0000012,2026-09-10 08:03:17,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.559,SESS-268F9F3EBB,REQ-C0BAB325F27D,
EVT-0000024,2026-09-11 14:21:27,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,47.482,SESS-3CBFB6AEF7,REQ-3A02FC9D95D4,INFRA_008|Infrastructure|Runtime node unavailable
EVT-0000030,2026-09-10 13:05:37,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.014,SESS-58E80A24BD,REQ-C4BF9554D38B,
EVT-0000046,2026-09-12 18:48:45,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,16.735,SESS-70D97C9B9A,REQ-0039FF92D68D,CAP_003|Capacity|Downstream service is at capacity
EVT-0000049,2026-09-16 11:06:47,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,18.367,SESS-52DA37CE47,REQ-DD95C9271DD3,
EVT-0000070,2026-09-14 03:25:20,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.997,SESS-8B6491819F,REQ-2D070F6FE082,
EVT-0000080,2026-09-11 23:25:02,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,15.007,SESS-A135372351,REQ-19FA6E755F7F,
EVT-0000092,2026-09-16 11:04:09,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,10.688,SESS-3A64F431E7,REQ-60144115F887,
EVT-0000094,2026-09-12 04:07:12,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,5,11.989,SESS-6E1D7DCCF5,REQ-E117CB0353AF,CFG_017|Configuration|Interface configuration mismatch
EVT-0000095,2026-09-14 08:19:42,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,15.188,SESS-051A2D850D,REQ-77DD759F9C2E,
EVT-0000109,2026-09-11 15:33:26,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.047,SESS-3D14E69E9E,REQ-8A651250C545,
EVT-0000123,2026-09-11 19:54:52,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.657,SESS-552C4C0C84,REQ-0364C43EB988,
EVT-0000154,2026-09-13 12:58:04,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.451,SESS-8AB8FFBDC0,REQ-F8BD680A2612,
EVT-0000202,2026-09-14 06:46:07,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.527,SESS-B0EF260FED,REQ-C9E8BE4EDC0C,
EVT-0000219,2026-09-15 20:23:39,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.559,SESS-6B745661C6,REQ-0DDC9EFB97CA,
EVT-0000263,2026-09-14 02:14:07,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.528,SESS-43F9253796,REQ-9FF72EF80F80,
EVT-0000266,2026-09-15 21:54:38,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,9,105.492,SESS-7838651160,REQ-490D0123536D,CAP_003|Capacity|Downstream service is at capacity
EVT-0000279,2026-09-15 20:19:37,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.708,SESS-0AB871EEBB,REQ-4162B59C4C12,
EVT-0000288,2026-09-11 17:17:24,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,33.97,SESS-BE796B3D67,REQ-DE183DE25687,DB_COMMIT_014|Database|Transaction commit failed
EVT-0000289,2026-09-16 20:27:40,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.296,SESS-93326AFCB4,REQ-F550A9F946FE,
EVT-0000298,2026-09-11 15:53:22,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.959,SESS-48CA6A8F2D,REQ-D710F40A6FDC,
EVT-0000342,2026-09-10 20:19:47,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,14.887,SESS-9624FE19CA,REQ-AFD62F41EA3C,
EVT-0000349,2026-09-16 20:54:21,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.612,SESS-8EABBE5046,REQ-B34D6E39C904,
EVT-0000353,2026-09-12 20:13:33,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.725,SESS-379579BC27,REQ-A7120B3DBD92,
EVT-0000367,2026-09-11 03:33:03,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.061,SESS-C996824E73,REQ-4CC9F9D17C9F,
EVT-0000369,2026-09-13 09:13:16,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,2.831,SESS-AA2A251B31,REQ-DF7A25A1AB70,
EVT-0000376,2026-09-12 14:55:03,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.127,SESS-BAC1FDBFF4,REQ-C2C3EE91208C,
EVT-0000388,2026-09-10 22:30:10,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,9,61.819,SESS-8032AEB34C,REQ-A12768AE6EA4,AUTH_401|Authentication|Service credential rejected
EVT-0000406,2026-09-16 17:22:33,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,20.064,SESS-7F8F263E00,REQ-6CE2112136D3,
EVT-0000407,2026-09-16 15:25:02,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,39.415,SESS-C1F6E7AB66,REQ-D4F8B1B10A32,CAP_003|Capacity|Downstream service is at capacity
EVT-0000425,2026-09-10 04:29:48,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,16.131,SESS-D4B033E036,REQ-0A38716F2618,
EVT-0000429,2026-09-10 02:25:07,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,11.688,SESS-1E00344D3B,REQ-0623A20FC62C,
EVT-0000446,2026-09-13 17:44:46,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.22,SESS-9595981034,REQ-BFDED132EFD1,
EVT-0000460,2026-09-12 04:24:45,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,9.842,SESS-E88D8E27EB,REQ-123BEF7AD895,
EVT-0000530,2026-09-15 06:13:16,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,44.374,SESS-3B76AE0D6B,REQ-642C7437CAAB,DB_COMMIT_014|Database|Transaction commit failed
EVT-0000554,2026-09-10 07:46:16,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,11.876,SESS-121EB1689F,REQ-D0F1E22F68B5,
EVT-0000567,2026-09-14 09:04:13,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,10.339,SESS-4735F5C151,REQ-6D70C29AB5F9,
EVT-0000568,2026-09-13 10:42:12,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.198,SESS-F1909F5F6C,REQ-24C8E69F4278,
EVT-0000578,2026-09-10 04:48:51,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.674,SESS-502DB8FC94,REQ-6000A83B6D40,
EVT-0000603,2026-09-12 21:25:16,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,9,17.767,SESS-1700694557,REQ-DF80B0590BF2,VAL_400|Validation|Required business field failed validation
EVT-0000608,2026-09-11 20:09:40,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,18.313,SESS-6F9BDC8973,REQ-43E1AC4EA646,
EVT-0000616,2026-09-14 16:40:20,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,16.139,SESS-F80B7B1750,REQ-5050AF168E0B,
EVT-0000624,2026-09-12 08:14:53,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,6.16,SESS-DE84ABE993,REQ-9645A5D99ACB,
EVT-0000629,2026-09-15 05:58:28,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.137,SESS-55B448DE70,REQ-157E32B66D5E,
EVT-0000635,2026-09-10 20:47:46,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,15.128,SESS-3429430C57,REQ-237CC2C198FE,
EVT-0000638,2026-09-14 01:55:49,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,9,18.983,SESS-0F83A98136,REQ-914A89B51638,DB_COMMIT_014|Database|Transaction commit failed
EVT-0000639,2026-09-14 04:24:54,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,15.502,SESS-F30E7C3C7E,REQ-0BA5A8042130,
EVT-0000673,2026-09-12 07:53:12,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,2.704,SESS-0918D54806,REQ-BB2DF238C430,
EVT-0000738,2026-09-12 10:03:44,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,10.596,SESS-B281FDF89D,REQ-B3E8A9BB6C85,
EVT-0000750,2026-09-15 07:26:49,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,9.753,SESS-3336F4EF22,REQ-B204C8BF9D25,
EVT-0000786,2026-09-10 23:39:12,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.133,SESS-DF7FC6A9F6,REQ-793116E608A6,
EVT-0000787,2026-09-13 08:11:46,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,6.497,SESS-6BF26A8D58,REQ-80DED8FEE6BC,
EVT-0000808,2026-09-11 01:47:13,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,29.285,SESS-EDCD2D78FB,REQ-F1F9CD80176B,INFRA_008|Infrastructure|Runtime node unavailable
EVT-0000810,2026-09-10 05:44:58,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.324,SESS-BC3430F4D9,REQ-9B14D4B25DC9,
EVT-0000835,2026-09-14 20:42:46,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.724,SESS-05BB1D6102,REQ-1923A4919B12,
EVT-0000852,2026-09-11 23:08:30,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.07,SESS-DAC2942AED,REQ-C91C9D5FF609,
EVT-0000883,2026-09-12 11:48:52,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,9.277,SESS-BD567CB1FD,REQ-9EFE77E737BF,
EVT-0000896,2026-09-16 02:15:58,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,3.216,SESS-471692F916,REQ-2541F627B1B4,
EVT-0000903,2026-09-16 08:35:10,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,49.04,SESS-BC74B60F6F,REQ-AB253AC8E0FE,TIME_004|Timeout|Downstream response exceeded SLA
EVT-0000952,2026-09-12 09:49:31,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.173,SESS-DEA7F83172,REQ-7FCB2228983D,
EVT-0000965,2026-09-14 04:59:54,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.188,SESS-F2B8B3CACC,REQ-E4E67E14FF77,
EVT-0000966,2026-09-13 00:58:26,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.542,SESS-4163707EF6,REQ-60B426103FC4,
EVT-0001001,2026-09-13 21:12:26,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.071,SESS-929A593649,REQ-F79039F3556F,
EVT-0001008,2026-09-11 09:58:19,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,10.76,SESS-B6F389FDA9,REQ-2A96D1EF0488,
EVT-0001019,2026-09-14 23:08:33,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.341,SESS-00165B1BAF,REQ-93E37195F4B2,
EVT-0001023,2026-09-12 16:48:54,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.901,SESS-9BEB104EF5,REQ-5F1B479AEAD9,
EVT-0001034,2026-09-13 22:12:23,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,43.511,SESS-C40D1E65AA,REQ-37350E3CA65F,CFG_017|Configuration|Interface configuration mismatch
EVT-0001068,2026-09-16 20:33:57,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.981,SESS-E2B10131E7,REQ-0016BC122D9D,
EVT-0001071,2026-09-11 15:04:35,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,15.422,SESS-6EB64B4734,REQ-74B53AEABDB2,
EVT-0001080,2026-09-11 22:17:35,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,11.377,SESS-64B4918C5B,REQ-28CD3D78C43E,
EVT-0001085,2026-09-13 21:08:16,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,20.604,SESS-1627D2BAA4,REQ-806EC83D9858,
EVT-0001090,2026-09-14 14:31:05,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,9,68.291,SESS-E6EC8158D1,REQ-1116FB6B3452,AUTHZ_403|Authorization|Caller is not authorized
EVT-0001093,2026-09-14 16:47:29,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.886,SESS-944E704A8F,REQ-F97EC37EEC01,
EVT-0001094,2026-09-14 18:13:01,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,5,36.236,SESS-0A49D0E7FB,REQ-F6B6ABD2886F,NET_CONN_003|Network|Connection reset by peer
EVT-0001102,2026-09-10 01:11:19,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.401,SESS-7BFF1C65C0,REQ-7DE919F7FF6B,
EVT-0001108,2026-09-11 14:16:46,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,13.4,SESS-33473B7654,REQ-79E52AFED602,
EVT-0001126,2026-09-10 10:34:01,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,9,32.236,SESS-7E1700ACB0,REQ-BF6C467FDB5D,AUTH_401|Authentication|Service credential rejected
EVT-0001127,2026-09-15 04:31:33,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,9,78.095,SESS-72E4621E3C,REQ-5A084AC79F93,AUTHZ_403|Authorization|Caller is not authorized
EVT-0001139,2026-09-15 16:11:26,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,4.141,SESS-DCCB721C45,REQ-141D0F90BB9A,
EVT-0001140,2026-09-11 05:22:42,PAY,IF_HCMPAY_SAPFIN_001,SAP_ERP,SFTP,Batch,1,12.941,SESS-87F34E1DF9,REQ-D47D8DD6D788,
EVT-0001169,2026-09-15 21:21:04,WM,IF_HCMWM_SAPFIN_001,SAP_ERP,ESB,Async,1,5.493,SESS-F470975F25,REQ-2EBA8C27123D,
