EventID,InterfaceID,SourceSystem,TargetSystem,Middleware,Pattern,Status,ErrorCode,ErrorText,RootCauseClass,Latency_ms,SessionID,RequestID,Timestamp
EVT-0000037,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2066,SESS-5083DB6C70,REQ-7A204BEE6A3F,2026-09-11 07:19:42
EVT-0000045,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Failed,VAL_400,Required business field failed validation,Validation,5138,SESS-F3EAB2D34F,REQ-C1A2CD9E10B6,2026-09-13 08:31:12
EVT-0000054,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,1976,SESS-DAA00EB4B5,REQ-261DCFC3972A,2026-09-13 13:23:41
EVT-0000060,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Retry,NET_CONN_003,Connection reset by peer,Network,5694,SESS-A5A0E69B0A,REQ-A3358F96F21E,2026-09-15 12:03:54
EVT-0000093,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Retry,DB_COMMIT_014,Transaction commit failed,Database,8979,SESS-3E9CB4AFB1,REQ-37DD95835C87,2026-09-13 14:42:23
EVT-0000099,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2558,SESS-5B767E0C41,REQ-0A8D6BCD505E,2026-09-15 08:39:00
EVT-0000114,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,1311,SESS-02B42172ED,REQ-D74477D0945A,2026-09-15 09:40:53
EVT-0000120,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,888,SESS-9D3551CE5C,REQ-21A634C3FE2F,2026-09-16 01:03:13
EVT-0000121,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,1937,SESS-A4954C6829,REQ-CE7F4A3601D1,2026-09-13 19:04:43
EVT-0000134,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Retry,TIME_004,Downstream response exceeded SLA,Timeout,8357,SESS-34BAD9D308,REQ-1C377EDF95DE,2026-09-16 23:02:35
EVT-0000139,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2101,SESS-CE099AE6D0,REQ-1C8039C82167,2026-09-10 02:22:15
EVT-0000148,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,1385,SESS-F03685DB24,REQ-5A3E746CF443,2026-09-16 06:31:07
EVT-0000152,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2654,SESS-A1E18FE826,REQ-4CC4C81C53CB,2026-09-11 16:28:28
EVT-0000164,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,2428,SESS-A0D14AC72F,REQ-D66BDB4312D0,2026-09-10 00:26:10
EVT-0000176,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,2672,SESS-C6A1F354F9,REQ-A4A64F658BF7,2026-09-14 18:34:13
EVT-0000184,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,996,SESS-11F7BEDD71,REQ-E06CCCE81A52,2026-09-14 12:26:52
EVT-0000188,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2398,SESS-1FAE3632D5,REQ-80EBF64EE24F,2026-09-16 12:29:18
EVT-0000199,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Retry,DB_COMMIT_014,Transaction commit failed,Database,3761,SESS-C3C9AD5403,REQ-29379575DEE0,2026-09-13 06:21:52
EVT-0000205,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,1785,SESS-205E2E8C95,REQ-4B29775B7B1D,2026-09-13 11:10:34
EVT-0000211,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2973,SESS-6BA00AEB92,REQ-CB40E8E84516,2026-09-13 16:21:26
EVT-0000232,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,1375,SESS-F6DBFA98B0,REQ-6F24458A7277,2026-09-14 03:42:56
EVT-0000261,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,1670,SESS-63EE64D193,REQ-5583791F16C3,2026-09-15 09:03:03
EVT-0000269,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,1422,SESS-F923BEC184,REQ-A0F58F901DBB,2026-09-12 04:41:04
EVT-0000281,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,2039,SESS-880B62B55A,REQ-2FDD7CBD1FCA,2026-09-11 03:19:17
EVT-0000294,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,2181,SESS-6DB7C07AFE,REQ-3C1080B95BBA,2026-09-16 08:36:25
EVT-0000296,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,1572,SESS-9DF31BCA2A,REQ-9BE0380E1D6C,2026-09-12 22:13:14
EVT-0000303,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,2114,SESS-A8536E1997,REQ-C1018CEE4DA1,2026-09-13 11:39:56
EVT-0000315,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2557,SESS-B95B02F3ED,REQ-BDD4EFBCF2B9,2026-09-11 17:31:15
EVT-0000336,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,1024,SESS-334C34E17A,REQ-52F4BE715F07,2026-09-13 12:17:54
EVT-0000344,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2144,SESS-436598C30B,REQ-0C9F6849BE4C,2026-09-13 05:06:09
EVT-0000362,IF_CRMSM_SAPPP_001,CRM,SAP_ERP,REST_API,REST,Success,,,,2288,SESS-7BF0F041A2,REQ-2B9F126C2775,2026-09-11 00:55:52
EVT-0000371,IF_CRMDM_ORSC_001,CRM,ORACLE_SCM,Kafka,Async,Success,,,,2324,SESS-AB6F8F188A,REQ-5134C764FF4F,2026-09-15 00:19:15
EVT-0000374,IF_CRMOM_OROM_001,CRM,ORACLE_SCM,REST_API,REST,Success,,,,1485,SESS-852537F6FC,REQ-F95DBDB1E976,2026-09-16 05:20:50
