EventID,InterfaceID,SourceSystem,TargetSystem,Middleware,Pattern,Status,ErrorCode,ErrorText,RootCauseClass,Latency_ms,SessionID,RequestID,Timestamp
EVT-0000006,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,11077,SESS-93817EA810,REQ-078391B5B9CE,2026-09-12 17:21:34
EVT-0000012,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,13559,SESS-268F9F3EBB,REQ-C0BAB325F27D,2026-09-10 08:03:17
EVT-0000024,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Retry,INFRA_008,Runtime node unavailable,Infrastructure,47482,SESS-3CBFB6AEF7,REQ-3A02FC9D95D4,2026-09-11 14:21:27
EVT-0000030,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,13014,SESS-58E80A24BD,REQ-C4BF9554D38B,2026-09-10 13:05:37
EVT-0000046,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Retry,CAP_003,Downstream service is at capacity,Capacity,16735,SESS-70D97C9B9A,REQ-0039FF92D68D,2026-09-12 18:48:45
EVT-0000049,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,18367,SESS-52DA37CE47,REQ-DD95C9271DD3,2026-09-16 11:06:47
EVT-0000070,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,13997,SESS-8B6491819F,REQ-2D070F6FE082,2026-09-14 03:25:20
EVT-0000080,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,15007,SESS-A135372351,REQ-19FA6E755F7F,2026-09-11 23:25:02
EVT-0000092,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,10688,SESS-3A64F431E7,REQ-60144115F887,2026-09-16 11:04:09
EVT-0000094,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Retry,CFG_017,Interface configuration mismatch,Configuration,11989,SESS-6E1D7DCCF5,REQ-E117CB0353AF,2026-09-12 04:07:12
EVT-0000095,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,15188,SESS-051A2D850D,REQ-77DD759F9C2E,2026-09-14 08:19:42
EVT-0000109,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Success,,,,4047,SESS-3D14E69E9E,REQ-8A651250C545,2026-09-11 15:33:26
EVT-0000123,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Success,,,,12657,SESS-552C4C0C84,REQ-0364C43EB988,2026-09-11 19:54:52
EVT-0000154,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Success,,,,5451,SESS-8AB8FFBDC0,REQ-F8BD680A2612,2026-09-13 12:58:04
EVT-0000202,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Success,,,,4527,SESS-B0EF260FED,REQ-C9E8BE4EDC0C,2026-09-14 06:46:07
EVT-0000219,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Success,,,,4559,SESS-6B745661C6,REQ-0DDC9EFB97CA,2026-09-15 20:23:39
EVT-0000263,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Success,,,,4528,SESS-43F9253796,REQ-9FF72EF80F80,2026-09-14 02:14:07
EVT-0000266,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Failed,CAP_003,Downstream service is at capacity,Capacity,105492,SESS-7838651160,REQ-490D0123536D,2026-09-15 21:54:38
EVT-0000279,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Success,,,,5708,SESS-0AB871EEBB,REQ-4162B59C4C12,2026-09-15 20:19:37
EVT-0000288,IF_HCMPAY_SAPFIN_001,HCM,SAP_ERP,SFTP,Batch,Retry,DB_COMMIT_014,Transaction commit failed,Database,33970,SESS-BE796B3D67,REQ-DE183DE25687,2026-09-11 17:17:24
EVT-0000289,IF_HCMWM_SAPFIN_001,HCM,SAP_ERP,ESB,Async,Success,,,,4296,SESS-93326AFCB4,REQ-F550A9F946FE,2026-09-16 20:27:40
