EventID,InterfaceID,SourceSystem,TargetSystem,Middleware,Pattern,Status,ErrorCode,ErrorText,RootCauseClass,Latency_ms,SessionID,RequestID,Timestamp
EVT-0000001,IF_ORSC_SAPPP_001,ORACLE_SCM,SAP_ERP,Kafka,Async,Retry,INFRA_008,Runtime node unavailable,Infrastructure,2266,SESS-05F8981FB9,REQ-3F73C449F9E0,2026-09-15 05:35:56+00:00
EVT-0000002,IF_ORSC_ORIM_001,ORACLE_SCM,ORACLE_SCM,ESB,Sync,Retry,AUTH_401,Service credential rejected,Authentication,7125,SESS-FBFD6EEC9F,REQ-E249D08A1EE0,2026-09-14 08:18:25+00:00
EVT-0000010,IF_ORIM_SAPPROC_001,ORACLE_SCM,SAP_ERP,REST_API,REST,Success,,,,2153,SESS-A8B47456AF,REQ-1485B021A0BD,2026-09-11 23:55:01+00:00
EVT-0000011,IF_ORIM_SAPPROC_001,ORACLE_SCM,SAP_ERP,REST_API,REST,Success,,,,2871,SESS-36B7A49142,REQ-09C8D06CD525,2026-09-16 18:38:25+00:00
EVT-0000013,IF_ORWMS_SAPQM_001,ORACLE_SCM,SAP_ERP,Kafka,Async,Success,,,,1978,SESS-23AB529388,REQ-988DDC96D514,2026-09-16 03:26:58+00:00
EVT-0000014,IF_ORIM_MESPE_001,ORACLE_SCM,MES,Kafka,Async,Success,,,,989,SESS-EEDA6F8155,REQ-C1CCE44B2A8C,2026-09-13 21:05:07+00:00
EVT-0000018,IF_ORWMS_SAPQM_001,ORACLE_SCM,SAP_ERP,Kafka,Async,Success,,,,2277,SESS-F94C7F15BA,REQ-F2C7B96BCCE6,2026-09-14 09:52:32+00:00
EVT-0000020,IF_ORSC_ORIM_001,ORACLE_SCM,ORACLE_SCM,ESB,Sync,Success,,,,2112,SESS-462A597318,REQ-47C4FB5C57CC,2026-09-16 00:04:51+00:00
EVT-0000028,IF_ORSC_SAPPP_001,ORACLE_SCM,SAP_ERP,Kafka,Async,Retry,TIME_004,Downstream response exceeded SLA,Timeout,3268,SESS-3353544B2F,REQ-AF66D42BF427,2026-09-11 08:31:59+00:00
EVT-0000043,IF_OROM_CRMOM_001,ORACLE_SCM,CRM,REST_API,REST,Retry,EXT_502,Downstream service returned 502,External Service,5046,SESS-CA1A065571,REQ-897E27B56397,2026-09-10 17:59:11+00:00
EVT-0000044,IF_ORIM_SAPPROC_001,ORACLE_SCM,SAP_ERP,REST_API,REST,Success,,,,1292,SESS-92C90CD8DA,REQ-5C606CC6CF84,2026-09-16 01:53:12+00:00
EVT-0000047,IF_ORWMS_SAPQM_001,ORACLE_SCM,SAP_ERP,Kafka,Async,Success,,,,1340,SESS-AB46CFCF5D,REQ-FF1E37982BFA,2026-09-16 09:34:12+00:00
EVT-0000048,IF_ORSC_ORIM_001,ORACLE_SCM,ORACLE_SCM,ESB,Sync,Success,,,,2597,SESS-F89EF97F4E,REQ-785B49C91F7D,2026-09-14 05:12:27+00:00
EVT-0000056,IF_OROM_CRMOM_001,ORACLE_SCM,CRM,REST_API,REST,Success,,,,1978,SESS-28D2CF3141,REQ-C949B1F00B4D,2026-09-15 15:44:12+00:00
EVT-0000058,IF_ORWMS_OROM_001,ORACLE_SCM,ORACLE_SCM,Kafka,Async,Retry,TIME_004,Downstream response exceeded SLA,Timeout,2589,SESS-DD2B95B502,REQ-35AD9E242CF7,2026-09-13 12:31:12+00:00
EVT-0000059,IF_ORWMS_SAPQM_001,ORACLE_SCM,SAP_ERP,Kafka,Async,Success,,,,2009,SESS-7F72FB3429,REQ-A2898A303AFF,2026-09-11 14:08:25+00:00
EVT-0000067,IF_ORSC_ORIM_001,ORACLE_SCM,ORACLE_SCM,ESB,Sync,Success,,,,2707,SESS-5F393F34D8,REQ-4B3CA14EC931,2026-09-13 01:33:47+00:00
EVT-0000071,IF_ORIM_ORWMS_001,ORACLE_SCM,ORACLE_SCM,ESB,Sync,Retry,CFG_017,Interface configuration mismatch,Configuration,1652,SESS-EC3B76B0A1,REQ-1AEB09046049,2026-09-12 17:52:12+00:00
EVT-0000079,IF_ORIM_SAPPROC_001,ORACLE_SCM,SAP_ERP,REST_API,REST,Success,,,,2586,SESS-16AB8F497A,REQ-5DF476376498,2026-09-11 07:21:12+00:00
EVT-0000081,IF_ORSC_ORIM_001,ORACLE_SCM,ORACLE_SCM,ESB,Sync,Success,,,,2534,SESS-CAEABCA5DE,REQ-68F36D9915CC,2026-09-14 13:15:19+00:00
EVT-0000083,IF_ORSC_ORIM_001,ORACLE_SCM,ORACLE_SCM,ESB,Sync,Success,,,,2206,SESS-28B5601755,REQ-C10A90C7213C,2026-09-15 22:01:08+00:00
