EventID,InterfaceID,SourceSystem,TargetSystem,Middleware,Pattern,Status,ErrorCode,ErrorText,RootCauseClass,Latency_ms,SessionID,RequestID,Timestamp
EVT-0000008,IF_PLMCM_SAPPP_001,PLM,SAP_ERP,ESB,Async,Success,,,,2363,SESS-A1E61DE6F6,REQ-FEA3FAC77845,2026-09-11 22:14:45+00:00
EVT-0000017,IF_PLMPD_MESPE_001,PLM,MES,Kafka,Async,Success,,,,968,SESS-3669979A8D,REQ-30E5B85772F5,2026-09-15 12:13:11+00:00
EVT-0000029,IF_PLMCM_SAPPP_001,PLM,SAP_ERP,ESB,Async,Success,,,,2075,SESS-609BE4D856,REQ-E2C9324B95C4,2026-09-14 21:55:18+00:00
EVT-0000031,IF_PLMCFG_MESPC_001,PLM,MES,REST_API,REST,Success,,,,1487,SESS-6BBCF27755,REQ-F362FBA8CCED,2026-09-15 15:04:24+00:00
EVT-0000053,IF_PLMCFG_MESPC_001,PLM,MES,REST_API,REST,Success,,,,1996,SESS-8AB8CF821E,REQ-A5C8B50A6604,2026-09-14 07:28:32+00:00
EVT-0000063,IF_PLMCFG_MESPC_001,PLM,MES,REST_API,REST,Success,,,,1757,SESS-59228E38D3,REQ-81603CFB3110,2026-09-16 09:44:46+00:00
EVT-0000069,IF_PLMPD_SAPPP_001,PLM,SAP_ERP,Kafka,Async,Success,,,,1151,SESS-4B51AF75BA,REQ-41E71152F8A2,2026-09-11 20:49:04+00:00
EVT-0000076,IF_PLMCM_SAPPP_001,PLM,SAP_ERP,ESB,Async,Success,,,,1902,SESS-FCA0AD8071,REQ-8E1A6191582E,2026-09-15 21:22:47+00:00
EVT-0000078,IF_PLMCM_SAPPP_001,PLM,SAP_ERP,ESB,Async,Success,,,,2060,SESS-31FEAE5571,REQ-131E83D57DF6,2026-09-13 17:30:12+00:00
EVT-0000082,IF_PLMCM_SAPPP_001,PLM,SAP_ERP,ESB,Async,Retry,CAP_003,Downstream service is at capacity,Capacity,7646,SESS-F522AD8380,REQ-D286999106C8,2026-09-13 20:11:53+00:00
