EventID,InterfaceID,SourceSystem,TargetSystem,Middleware,Pattern,Status,ErrorCode,ErrorText,RootCauseClass,Latency_ms,SessionID,RequestID,Timestamp
EVT-0000003,IF_SAPQM_ORWMS_001,SAP_ERP,ORACLE_SCM,Kafka,Async,Success,,,,1792,SESS-3266D471F3,REQ-718781968F4E,2026-09-11 04:29:57
EVT-0000004,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,841,SESS-581B232159,REQ-6F3920D37E95,2026-09-10 13:32:43
EVT-0000005,IF_SAPPP_ORSC_001,SAP_ERP,ORACLE_SCM,Kafka,Async,Retry,INFRA_008,Runtime node unavailable,Infrastructure,3055,SESS-13745682FB,REQ-8C6AB3C88376,2026-09-12 20:32:29
EVT-0000007,IF_SAPPROC_ORWMS_001,SAP_ERP,ORACLE_SCM,SFTP,Batch,Success,,,,13539,SESS-241C5AF946,REQ-3D6B3F5ADB4E,2026-09-16 03:29:47
EVT-0000009,IF_SAPPP_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,1042,SESS-96B8E5AD57,REQ-C0784B4BB2F2,2026-09-15 02:01:35
EVT-0000015,IF_SAPFIN_HCMPAY_001,SAP_ERP,HCM,SFTP,Batch,Success,,,,15606,SESS-6A8AD72B6E,REQ-72C33074E710,2026-09-15 10:28:59
EVT-0000016,IF_SAPPROC_ORIM_001,SAP_ERP,ORACLE_SCM,REST_API,REST,Success,,,,1851,SESS-0BECB0A943,REQ-35DE3AD5187C,2026-09-15 10:50:43
EVT-0000019,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Retry,CFG_017,Interface configuration mismatch,Configuration,2200,SESS-22347FAA6C,REQ-9EE182CF1792,2026-09-14 11:46:19
EVT-0000021,IF_SAPPP_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,632,SESS-6803E7E443,REQ-FFD30E27F200,2026-09-16 10:38:55
EVT-0000022,IF_SAPPP_ORSC_001,SAP_ERP,ORACLE_SCM,Kafka,Async,Success,,,,1766,SESS-7B61E96658,REQ-222B9A13261D,2026-09-15 07:19:10
EVT-0000023,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Retry,CFG_017,Interface configuration mismatch,Configuration,2648,SESS-175BF3FB82,REQ-B842C46BB01B,2026-09-12 16:18:36
EVT-0000025,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,951,SESS-D4E5BF1659,REQ-1FFC2AFB852B,2026-09-12 03:56:01
EVT-0000026,IF_SAPFIN_HCMPAY_001,SAP_ERP,HCM,SFTP,Batch,Success,,,,9701,SESS-365BD6986A,REQ-059645515D17,2026-09-14 03:17:02
EVT-0000027,IF_SAPPP_ORSC_001,SAP_ERP,ORACLE_SCM,Kafka,Async,Retry,AUTH_401,Service credential rejected,Authentication,4903,SESS-761C4039B2,REQ-FC1DC1D77239,2026-09-12 00:46:05
EVT-0000032,IF_SAPPROC_ORIM_001,SAP_ERP,ORACLE_SCM,REST_API,REST,Success,,,,2003,SESS-DD54FE6256,REQ-EB884429AD26,2026-09-10 09:06:23
EVT-0000034,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,1150,SESS-EED52871A9,REQ-412EB38A4F70,2026-09-16 17:43:38
EVT-0000036,IF_SAPPP_ORSC_001,SAP_ERP,ORACLE_SCM,Kafka,Async,Success,,,,1229,SESS-C4368AB833,REQ-2BA8231C1797,2026-09-13 02:25:40
EVT-0000038,IF_SAPPP_ORSC_001,SAP_ERP,ORACLE_SCM,Kafka,Async,Success,,,,1745,SESS-B4B5FD01EA,REQ-254B4D5DFE70,2026-09-16 07:12:08
EVT-0000039,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,910,SESS-9AC3106E23,REQ-AADA48AAE490,2026-09-13 02:50:00
EVT-0000040,IF_SAPPP_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,994,SESS-949E288AF5,REQ-41AF3F7EDA26,2026-09-13 08:50:26
EVT-0000041,IF_SAPPROC_ORWMS_001,SAP_ERP,ORACLE_SCM,SFTP,Batch,Retry,EXT_502,Downstream service returned 502,External Service,52424,SESS-F26B6FBE21,REQ-337CC3E19430,2026-09-15 01:40:43
EVT-0000050,IF_SAPPROC_ORWMS_001,SAP_ERP,ORACLE_SCM,SFTP,Batch,Success,,,,14647,SESS-6E5A4311EB,REQ-EB4A648753E1,2026-09-10 21:58:31
EVT-0000057,IF_SAPQM_ORWMS_001,SAP_ERP,ORACLE_SCM,Kafka,Async,Success,,,,2253,SESS-B1B7116898,REQ-C1AC5AFF197A,2026-09-16 03:28:54
EVT-0000062,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,867,SESS-DD0AFDB1BB,REQ-888F93AB592E,2026-09-15 22:33:34
EVT-0000064,IF_SAPPROC_ORIM_001,SAP_ERP,ORACLE_SCM,REST_API,REST,Success,,,,1325,SESS-C1F5B4ED64,REQ-59D7CCCDD971,2026-09-14 16:50:42
EVT-0000072,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,976,SESS-54348886BA,REQ-D46741980236,2026-09-14 16:35:09
EVT-0000073,IF_SAPQM_MESPE_001,SAP_ERP,MES,Kafka,Async,Success,,,,657,SESS-53AA05A7F8,REQ-F97E9E0CEC82,2026-09-12 16:10:32
